## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,97.334047,15.628667,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000000,0.000000
Dist,2.000000,0.000000,0.000000
Dist,3.000000,0.000000,0.000000
Dist,4.000000,0.000000,0.000000
Dist,5.000000,0.000000,0.000000
Dist,6.000000,0.000000,0.000000
Dist,7.000000,0.000000,0.000000
Dist,8.000000,0.000000,0.000000
Dist,9.000000,0.000000,0.000000
Dist,10.000000,0.000000,0.000000
Dist,11.000000,0.000000,0.000000
Dist,12.000000,0.000000,0.000000
Dist,13.000000,0.000000,0.000000
Dist,14.000000,0.000000,0.000000
Dist,15.000000,0.000000,0.000000
Dist,16.000000,0.000000,0.000000
Dist,17.000000,0.000000,0.000000
Dist,18.000000,0.000000,0.000000
Dist,19.000000,0.000000,0.000000
Dist,20.000000,0.000000,0.000000
Dist,21.000000,0.000000,0.000000
Dist,22.000000,0.000000,0.000000
Dist,23.000000,0.000000,0.000000
Dist,24.000000,0.000000,0.000000
Dist,25.000000,0.000000,0.000000
Dist,26.000000,0.000000,0.000000
Dist,27.000000,0.000000,0.000000
Dist,28.000000,0.000000,0.000000
Dist,29.000000,0.000000,0.000000
Dist,30.000000,0.000000,0.000000
Dist,31.000000,0.000000,0.000000
Dist,32.000000,0.000000,0.000000
Dist,33.000000,0.000000,0.000000
Dist,34.000000,0.000000,0.000000
Dist,35.000000,0.000000,0.000001
Dist,36.000000,0.000000,0.000001
Dist,37.000000,0.000000,0.000001
Dist,38.000000,0.000000,0.000001
Dist,39.000000,0.000000,0.000001
Dist,40.000000,0.000000,0.000002
Dist,41.000000,0.000000,0.000002
Dist,42.000000,0.000000,0.000003
Dist,43.000000,0.000001,0.000003
Dist,44.000000,0.000001,0.000004
Dist,45.000000,0.000001,0.000005
Dist,46.000000,0.000001,0.000006
Dist,47.000000,0.000001,0.000007
Dist,48.000000,0.000002,0.000009
Dist,49.000000,0.000002,0.000011
Dist,50.000000,0.000003,0.000014
Dist,51.000000,0.000003,0.000017
Dist,52.000000,0.000004,0.000021
Dist,53.000000,0.000005,0.000026
Dist,54.000000,0.000006,0.000032
Dist,55.000000,0.000008,0.000040
Dist,56.000000,0.000009,0.000049
Dist,57.000000,0.000012,0.000061
Dist,58.000000,0.000014,0.000075
Dist,59.000000,0.000018,0.000093
Dist,60.000000,0.000022,0.000114
Dist,61.000000,0.000027,0.000141
Dist,62.000000,0.000033,0.000175
Dist,63.000000,0.000041,0.000215
Dist,64.000000,0.000051,0.000266
Dist,65.000000,0.000062,0.000328
Dist,66.000000,0.000077,0.000405
Dist,67.000000,0.000095,0.000501
Dist,68.000000,0.000117,0.000618
Dist,69.000000,0.000145,0.000763
Dist,70.000000,0.000179,0.000942
Dist,71.000000,0.000221,0.001163
Dist,72.000000,0.000273,0.001436
Dist,73.000000,0.000337,0.001773
Dist,74.000000,0.000416,0.002189
Dist,75.000000,0.000514,0.002703
Dist,76.000000,0.000635,0.003338
Dist,77.000000,0.000784,0.004122
Dist,78.000000,0.000968,0.005089
Dist,79.000000,0.001195,0.006285
Dist,80.000000,0.001477,0.007762
Dist,81.000000,0.001824,0.009586
Dist,82.000000,0.002254,0.011840
Dist,83.000000,0.002787,0.014627
Dist,84.000000,0.003446,0.018073
Dist,85.000000,0.004263,0.022336
Dist,86.000000,0.005278,0.027615
Dist,87.000000,0.006541,0.034156
Dist,88.000000,0.008116,0.042272
Dist,89.000000,0.010089,0.052361
Dist,90.000000,0.012571,0.064932
Dist,91.000000,0.015718,0.080650
Dist,92.000000,0.019748,0.100398
Dist,93.000000,0.024986,0.125384
Dist,94.000000,0.031948,0.157332
Dist,95.000000,0.041510,0.198842
Dist,96.000000,0.055320,0.254161
Dist,97.000000,0.076835,0.330996
Dist,98.000000,0.114217,0.445213
Dist,99.000000,0.189146,0.634359
Dist,100.000000,0.365641,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.365641,0.231948,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.634359,0.634359
Dist,1.000000,0.365641,1.000000

