## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,96.809125,20.919500,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000000,0.000000
Dist,2.000000,0.000000,0.000000
Dist,3.000000,0.000000,0.000000
Dist,4.000000,0.000000,0.000000
Dist,5.000000,0.000000,0.000000
Dist,6.000000,0.000000,0.000000
Dist,7.000000,0.000000,0.000000
Dist,8.000000,0.000000,0.000000
Dist,9.000000,0.000000,0.000000
Dist,10.000000,0.000000,0.000000
Dist,11.000000,0.000000,0.000000
Dist,12.000000,0.000000,0.000000
Dist,13.000000,0.000000,0.000000
Dist,14.000000,0.000000,0.000000
Dist,15.000000,0.000000,0.000000
Dist,16.000000,0.000000,0.000000
Dist,17.000000,0.000000,0.000000
Dist,18.000000,0.000000,0.000000
Dist,19.000000,0.000000,0.000000
Dist,20.000000,0.000000,0.000000
Dist,21.000000,0.000000,0.000000
Dist,22.000000,0.000000,0.000000
Dist,23.000000,0.000000,0.000000
Dist,24.000000,0.000000,0.000000
Dist,25.000000,0.000000,0.000000
Dist,26.000000,0.000000,0.000001
Dist,27.000000,0.000000,0.000001
Dist,28.000000,0.000000,0.000001
Dist,29.000000,0.000000,0.000001
Dist,30.000000,0.000000,0.000001
Dist,31.000000,0.000000,0.000001
Dist,32.000000,0.000000,0.000002
Dist,33.000000,0.000000,0.000002
Dist,34.000000,0.000000,0.000002
Dist,35.000000,0.000000,0.000003
Dist,36.000000,0.000001,0.000003
Dist,37.000000,0.000001,0.000004
Dist,38.000000,0.000001,0.000005
Dist,39.000000,0.000001,0.000006
Dist,40.000000,0.000001,0.000007
Dist,41.000000,0.000002,0.000009
Dist,42.000000,0.000002,0.000011
Dist,43.000000,0.000002,0.000013
Dist,44.000000,0.000003,0.000016
Dist,45.000000,0.000003,0.000019
Dist,46.000000,0.000004,0.000023
Dist,47.000000,0.000005,0.000027
Dist,48.000000,0.000006,0.000033
Dist,49.000000,0.000007,0.000040
Dist,50.000000,0.000008,0.000048
Dist,51.000000,0.000010,0.000058
Dist,52.000000,0.000012,0.000070
Dist,53.000000,0.000014,0.000084
Dist,54.000000,0.000017,0.000102
Dist,55.000000,0.000021,0.000123
Dist,56.000000,0.000025,0.000148
Dist,57.000000,0.000031,0.000179
Dist,58.000000,0.000037,0.000216
Dist,59.000000,0.000045,0.000260
Dist,60.000000,0.000054,0.000314
Dist,61.000000,0.000065,0.000379
Dist,62.000000,0.000078,0.000457
Dist,63.000000,0.000094,0.000551
Dist,64.000000,0.000114,0.000665
Dist,65.000000,0.000137,0.000802
Dist,66.000000,0.000166,0.000968
Dist,67.000000,0.000200,0.001168
Dist,68.000000,0.000241,0.001409
Dist,69.000000,0.000291,0.001700
Dist,70.000000,0.000351,0.002051
Dist,71.000000,0.000424,0.002475
Dist,72.000000,0.000511,0.002986
Dist,73.000000,0.000617,0.003603
Dist,74.000000,0.000744,0.004347
Dist,75.000000,0.000898,0.005245
Dist,76.000000,0.001084,0.006329
Dist,77.000000,0.001308,0.007637
Dist,78.000000,0.001579,0.009215
Dist,79.000000,0.001905,0.011121
Dist,80.000000,0.002300,0.013420
Dist,81.000000,0.002777,0.016197
Dist,82.000000,0.003353,0.019550
Dist,83.000000,0.004050,0.023600
Dist,84.000000,0.004894,0.028494
Dist,85.000000,0.005916,0.034410
Dist,86.000000,0.007157,0.041566
Dist,87.000000,0.008665,0.050231
Dist,88.000000,0.010504,0.060735
Dist,89.000000,0.012754,0.073488
Dist,90.000000,0.015521,0.089009
Dist,91.000000,0.018948,0.107957
Dist,92.000000,0.023237,0.131194
Dist,93.000000,0.028684,0.159878
Dist,94.000000,0.035754,0.195632
Dist,95.000000,0.045234,0.240866
Dist,96.000000,0.058590,0.299456
Dist,97.000000,0.078851,0.378307
Dist,98.000000,0.113033,0.491340
Dist,99.000000,0.179268,0.670608
Dist,100.000000,0.329392,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,-0.000000,-0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.329392,0.220893,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.670608,0.670608
Dist,1.000000,0.329392,1.000000

