## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,94.885668,45.480053,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000000,0.000000
Dist,2.000000,0.000000,0.000000
Dist,3.000000,0.000000,0.000001
Dist,4.000000,0.000000,0.000001
Dist,5.000000,0.000000,0.000001
Dist,6.000000,0.000000,0.000001
Dist,7.000000,0.000000,0.000002
Dist,8.000000,0.000000,0.000002
Dist,9.000000,0.000000,0.000002
Dist,10.000000,0.000000,0.000003
Dist,11.000000,0.000001,0.000003
Dist,12.000000,0.000001,0.000004
Dist,13.000000,0.000001,0.000004
Dist,14.000000,0.000001,0.000005
Dist,15.000000,0.000001,0.000006
Dist,16.000000,0.000001,0.000007
Dist,17.000000,0.000001,0.000008
Dist,18.000000,0.000001,0.000009
Dist,19.000000,0.000001,0.000011
Dist,20.000000,0.000002,0.000013
Dist,21.000000,0.000002,0.000015
Dist,22.000000,0.000002,0.000017
Dist,23.000000,0.000003,0.000019
Dist,24.000000,0.000003,0.000022
Dist,25.000000,0.000003,0.000026
Dist,26.000000,0.000004,0.000029
Dist,27.000000,0.000004,0.000034
Dist,28.000000,0.000005,0.000039
Dist,29.000000,0.000006,0.000045
Dist,30.000000,0.000007,0.000051
Dist,31.000000,0.000008,0.000059
Dist,32.000000,0.000009,0.000067
Dist,33.000000,0.000010,0.000077
Dist,34.000000,0.000011,0.000089
Dist,35.000000,0.000013,0.000101
Dist,36.000000,0.000015,0.000116
Dist,37.000000,0.000017,0.000133
Dist,38.000000,0.000019,0.000153
Dist,39.000000,0.000022,0.000175
Dist,40.000000,0.000026,0.000201
Dist,41.000000,0.000029,0.000230
Dist,42.000000,0.000034,0.000263
Dist,43.000000,0.000038,0.000302
Dist,44.000000,0.000044,0.000346
Dist,45.000000,0.000050,0.000396
Dist,46.000000,0.000058,0.000454
Dist,47.000000,0.000066,0.000520
Dist,48.000000,0.000076,0.000596
Dist,49.000000,0.000087,0.000682
Dist,50.000000,0.000099,0.000782
Dist,51.000000,0.000114,0.000895
Dist,52.000000,0.000130,0.001025
Dist,53.000000,0.000149,0.001174
Dist,54.000000,0.000171,0.001345
Dist,55.000000,0.000196,0.001541
Dist,56.000000,0.000224,0.001765
Dist,57.000000,0.000257,0.002021
Dist,58.000000,0.000294,0.002315
Dist,59.000000,0.000337,0.002652
Dist,60.000000,0.000385,0.003037
Dist,61.000000,0.000441,0.003479
Dist,62.000000,0.000506,0.003984
Dist,63.000000,0.000579,0.004563
Dist,64.000000,0.000663,0.005227
Dist,65.000000,0.000760,0.005986
Dist,66.000000,0.000870,0.006856
Dist,67.000000,0.000997,0.007853
Dist,68.000000,0.001141,0.008994
Dist,69.000000,0.001307,0.010301
Dist,70.000000,0.001497,0.011799
Dist,71.000000,0.001715,0.013514
Dist,72.000000,0.001964,0.015478
Dist,73.000000,0.002250,0.017728
Dist,74.000000,0.002577,0.020304
Dist,75.000000,0.002952,0.023256
Dist,76.000000,0.003381,0.026637
Dist,77.000000,0.003873,0.030510
Dist,78.000000,0.004437,0.034947
Dist,79.000000,0.005083,0.040030
Dist,80.000000,0.005824,0.045854
Dist,81.000000,0.006674,0.052528
Dist,82.000000,0.007649,0.060177
Dist,83.000000,0.008768,0.068946
Dist,84.000000,0.010055,0.079000
Dist,85.000000,0.011534,0.090534
Dist,86.000000,0.013238,0.103773
Dist,87.000000,0.015205,0.118977
Dist,88.000000,0.017481,0.136458
Dist,89.000000,0.020124,0.156582
Dist,90.000000,0.023209,0.179791
Dist,91.000000,0.026838,0.206629
Dist,92.000000,0.031148,0.237776
Dist,93.000000,0.036344,0.274120
Dist,94.000000,0.042748,0.316868
Dist,95.000000,0.050901,0.367769
Dist,96.000000,0.061802,0.429572
Dist,97.000000,0.077471,0.507042
Dist,98.000000,0.102413,0.609455
Dist,99.000000,0.147683,0.757138
Dist,100.000000,0.242862,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.242862,0.183880,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.757138,0.757138
Dist,1.000000,0.242862,1.000000

