## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,94.025815,58.979077,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000001,0.000001
Dist,2.000000,0.000001,0.000002
Dist,3.000000,0.000001,0.000002
Dist,4.000000,0.000001,0.000003
Dist,5.000000,0.000001,0.000004
Dist,6.000000,0.000001,0.000005
Dist,7.000000,0.000001,0.000006
Dist,8.000000,0.000001,0.000007
Dist,9.000000,0.000001,0.000008
Dist,10.000000,0.000002,0.000010
Dist,11.000000,0.000002,0.000012
Dist,12.000000,0.000002,0.000014
Dist,13.000000,0.000002,0.000016
Dist,14.000000,0.000002,0.000018
Dist,15.000000,0.000003,0.000021
Dist,16.000000,0.000003,0.000024
Dist,17.000000,0.000004,0.000028
Dist,18.000000,0.000004,0.000032
Dist,19.000000,0.000005,0.000037
Dist,20.000000,0.000005,0.000042
Dist,21.000000,0.000006,0.000048
Dist,22.000000,0.000007,0.000054
Dist,23.000000,0.000007,0.000062
Dist,24.000000,0.000008,0.000070
Dist,25.000000,0.000009,0.000079
Dist,26.000000,0.000011,0.000090
Dist,27.000000,0.000012,0.000102
Dist,28.000000,0.000014,0.000116
Dist,29.000000,0.000015,0.000131
Dist,30.000000,0.000017,0.000148
Dist,31.000000,0.000020,0.000168
Dist,32.000000,0.000022,0.000190
Dist,33.000000,0.000025,0.000215
Dist,34.000000,0.000028,0.000243
Dist,35.000000,0.000032,0.000275
Dist,36.000000,0.000036,0.000310
Dist,37.000000,0.000040,0.000351
Dist,38.000000,0.000046,0.000396
Dist,39.000000,0.000051,0.000448
Dist,40.000000,0.000058,0.000506
Dist,41.000000,0.000066,0.000571
Dist,42.000000,0.000074,0.000645
Dist,43.000000,0.000083,0.000729
Dist,44.000000,0.000094,0.000823
Dist,45.000000,0.000106,0.000929
Dist,46.000000,0.000120,0.001049
Dist,47.000000,0.000135,0.001185
Dist,48.000000,0.000153,0.001338
Dist,49.000000,0.000173,0.001510
Dist,50.000000,0.000195,0.001705
Dist,51.000000,0.000220,0.001925
Dist,52.000000,0.000248,0.002173
Dist,53.000000,0.000280,0.002453
Dist,54.000000,0.000316,0.002769
Dist,55.000000,0.000357,0.003126
Dist,56.000000,0.000403,0.003528
Dist,57.000000,0.000454,0.003983
Dist,58.000000,0.000513,0.004496
Dist,59.000000,0.000579,0.005074
Dist,60.000000,0.000653,0.005728
Dist,61.000000,0.000737,0.006465
Dist,62.000000,0.000832,0.007298
Dist,63.000000,0.000939,0.008237
Dist,64.000000,0.001060,0.009297
Dist,65.000000,0.001197,0.010494
Dist,66.000000,0.001351,0.011845
Dist,67.000000,0.001525,0.013369
Dist,68.000000,0.001721,0.015090
Dist,69.000000,0.001942,0.017033
Dist,70.000000,0.002192,0.019225
Dist,71.000000,0.002474,0.021699
Dist,72.000000,0.002793,0.024492
Dist,73.000000,0.003152,0.027645
Dist,74.000000,0.003558,0.031203
Dist,75.000000,0.004017,0.035219
Dist,76.000000,0.004534,0.039753
Dist,77.000000,0.005118,0.044871
Dist,78.000000,0.005778,0.050649
Dist,79.000000,0.006523,0.057172
Dist,80.000000,0.007365,0.064537
Dist,81.000000,0.008317,0.072854
Dist,82.000000,0.009393,0.082247
Dist,83.000000,0.010610,0.092857
Dist,84.000000,0.011988,0.104845
Dist,85.000000,0.013551,0.118396
Dist,86.000000,0.015324,0.133720
Dist,87.000000,0.017341,0.151061
Dist,88.000000,0.019641,0.170703
Dist,89.000000,0.022274,0.192977
Dist,90.000000,0.025304,0.218281
Dist,91.000000,0.028815,0.247096
Dist,92.000000,0.032927,0.280023
Dist,93.000000,0.037815,0.317838
Dist,94.000000,0.043758,0.361596
Dist,95.000000,0.051223,0.412819
Dist,96.000000,0.061078,0.473897
Dist,97.000000,0.075066,0.548963
Dist,98.000000,0.097046,0.646010
Dist,99.000000,0.136366,0.782376
Dist,100.000000,0.217624,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,-0.000000,-0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.217624,0.170264,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.782376,0.782376
Dist,1.000000,0.217624,1.000000

