## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,5.788930,39.300592,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.147299,0.147299
Dist,1.000000,0.125602,0.272901
Dist,2.000000,0.107101,0.380002
Dist,3.000000,0.091325,0.471327
Dist,4.000000,0.077873,0.549200
Dist,5.000000,0.066402,0.615602
Dist,6.000000,0.056621,0.672223
Dist,7.000000,0.048281,0.720504
Dist,8.000000,0.041169,0.761674
Dist,9.000000,0.035105,0.796779
Dist,10.000000,0.029934,0.826713
Dist,11.000000,0.025525,0.852238
Dist,12.000000,0.021765,0.874003
Dist,13.000000,0.018559,0.892562
Dist,14.000000,0.015825,0.908387
Dist,15.000000,0.013494,0.921882
Dist,16.000000,0.011507,0.933388
Dist,17.000000,0.009812,0.943200
Dist,18.000000,0.008366,0.951567
Dist,19.000000,0.007134,0.958701
Dist,20.000000,0.006083,0.964784
Dist,21.000000,0.005187,0.969971
Dist,22.000000,0.004423,0.974394
Dist,23.000000,0.003772,0.978166
Dist,24.000000,0.003216,0.981382
Dist,25.000000,0.002742,0.984124
Dist,26.000000,0.002338,0.986463
Dist,27.000000,0.001994,0.988457
Dist,28.000000,0.001700,0.990157
Dist,29.000000,0.001450,0.991607
Dist,30.000000,0.001236,0.992843
Dist,31.000000,0.001054,0.993897
Dist,32.000000,0.000899,0.994796
Dist,33.000000,0.000766,0.995563
Dist,34.000000,0.000654,0.996216
Dist,35.000000,0.000557,0.996774
Dist,36.000000,0.000475,0.997249
Dist,37.000000,0.000405,0.997654
Dist,38.000000,0.000346,0.998000
Dist,39.000000,0.000295,0.998294
Dist,40.000000,0.000251,0.998545
Dist,41.000000,0.000214,0.998760
Dist,42.000000,0.000183,0.998942
Dist,43.000000,0.000156,0.999098
Dist,44.000000,0.000133,0.999231
Dist,45.000000,0.000113,0.999344
Dist,46.000000,0.000097,0.999441
Dist,47.000000,0.000082,0.999523
Dist,48.000000,0.000070,0.999593
Dist,49.000000,0.000060,0.999653
Dist,50.000000,0.000051,0.999704
Dist,51.000000,0.000044,0.999748
Dist,52.000000,0.000037,0.999785
Dist,53.000000,0.000032,0.999817
Dist,54.000000,0.000027,0.999844
Dist,55.000000,0.000023,0.999867
Dist,56.000000,0.000020,0.999886
Dist,57.000000,0.000017,0.999903
Dist,58.000000,0.000014,0.999917
Dist,59.000000,0.000012,0.999930
Dist,60.000000,0.000010,0.999940
Dist,61.000000,0.000009,0.999949
Dist,62.000000,0.000008,0.999956
Dist,63.000000,0.000006,0.999963
Dist,64.000000,0.000005,0.999968
Dist,65.000000,0.000005,0.999973
Dist,66.000000,0.000004,0.999977
Dist,67.000000,0.000003,0.999980
Dist,68.000000,0.000003,0.999983
Dist,69.000000,0.000002,0.999986
Dist,70.000000,0.000002,0.999988
Dist,71.000000,0.000002,0.999990
Dist,72.000000,0.000002,0.999991
Dist,73.000000,0.000001,0.999992
Dist,74.000000,0.000001,0.999994
Dist,75.000000,0.000001,0.999995
Dist,76.000000,0.000001,0.999995
Dist,77.000000,0.000001,0.999996
Dist,78.000000,0.000001,0.999997
Dist,79.000000,0.000001,0.999997
Dist,80.000000,0.000000,0.999998
Dist,81.000000,0.000000,0.999998
Dist,82.000000,0.000000,0.999998
Dist,83.000000,0.000000,0.999999
Dist,84.000000,0.000000,0.999999
Dist,85.000000,0.000000,0.999999
Dist,86.000000,0.000000,0.999999
Dist,87.000000,0.000000,0.999999
Dist,88.000000,0.000000,0.999999
Dist,89.000000,0.000000,0.999999
Dist,90.000000,0.000000,1.000000
Dist,91.000000,0.000000,1.000000
Dist,92.000000,0.000000,1.000000
Dist,93.000000,0.000000,1.000000
Dist,94.000000,0.000000,1.000000
Dist,95.000000,0.000000,1.000000
Dist,96.000000,0.000000,1.000000
Dist,97.000000,0.000000,1.000000
Dist,98.000000,0.000000,1.000000
Dist,99.000000,0.000000,1.000000
Dist,100.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

