## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,3.692281,17.325356,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.213116,0.213116
Dist,1.000000,0.167698,0.380814
Dist,2.000000,0.131959,0.512773
Dist,3.000000,0.103836,0.616609
Dist,4.000000,0.081707,0.698315
Dist,5.000000,0.064294,0.762609
Dist,6.000000,0.050592,0.813201
Dist,7.000000,0.039810,0.853011
Dist,8.000000,0.031326,0.884337
Dist,9.000000,0.024650,0.908986
Dist,10.000000,0.019396,0.928383
Dist,11.000000,0.015263,0.943645
Dist,12.000000,0.012010,0.955655
Dist,13.000000,0.009450,0.965106
Dist,14.000000,0.007436,0.972542
Dist,15.000000,0.005852,0.978394
Dist,16.000000,0.004605,0.982999
Dist,17.000000,0.003623,0.986622
Dist,18.000000,0.002851,0.989473
Dist,19.000000,0.002243,0.991716
Dist,20.000000,0.001765,0.993482
Dist,21.000000,0.001389,0.994871
Dist,22.000000,0.001093,0.995964
Dist,23.000000,0.000860,0.996824
Dist,24.000000,0.000677,0.997501
Dist,25.000000,0.000533,0.998033
Dist,26.000000,0.000419,0.998453
Dist,27.000000,0.000330,0.998782
Dist,28.000000,0.000259,0.999042
Dist,29.000000,0.000204,0.999246
Dist,30.000000,0.000161,0.999407
Dist,31.000000,0.000126,0.999533
Dist,32.000000,0.000099,0.999633
Dist,33.000000,0.000078,0.999711
Dist,34.000000,0.000062,0.999772
Dist,35.000000,0.000048,0.999821
Dist,36.000000,0.000038,0.999859
Dist,37.000000,0.000030,0.999889
Dist,38.000000,0.000024,0.999913
Dist,39.000000,0.000019,0.999931
Dist,40.000000,0.000015,0.999946
Dist,41.000000,0.000012,0.999957
Dist,42.000000,0.000009,0.999967
Dist,43.000000,0.000007,0.999974
Dist,44.000000,0.000006,0.999979
Dist,45.000000,0.000004,0.999984
Dist,46.000000,0.000003,0.999987
Dist,47.000000,0.000003,0.999990
Dist,48.000000,0.000002,0.999992
Dist,49.000000,0.000002,0.999994
Dist,50.000000,0.000001,0.999995
Dist,51.000000,0.000001,0.999996
Dist,52.000000,0.000001,0.999997
Dist,53.000000,0.000001,0.999998
Dist,54.000000,0.000001,0.999998
Dist,55.000000,0.000000,0.999999
Dist,56.000000,0.000000,0.999999
Dist,57.000000,0.000000,0.999999
Dist,58.000000,0.000000,0.999999
Dist,59.000000,0.000000,0.999999
Dist,60.000000,0.000000,1.000000
Dist,61.000000,0.000000,1.000000
Dist,62.000000,0.000000,1.000000
Dist,63.000000,0.000000,1.000000
Dist,64.000000,0.000000,1.000000
Dist,65.000000,0.000000,1.000000
Dist,66.000000,0.000000,1.000000
Dist,67.000000,0.000000,1.000000
Dist,68.000000,0.000000,1.000000
Dist,69.000000,0.000000,1.000000
Dist,70.000000,0.000000,1.000000
Dist,71.000000,0.000000,1.000000
Dist,72.000000,0.000000,1.000000
Dist,73.000000,0.000000,1.000000
Dist,74.000000,0.000000,1.000000
Dist,75.000000,0.000000,1.000000
Dist,76.000000,0.000000,1.000000
Dist,77.000000,0.000000,1.000000
Dist,78.000000,0.000000,1.000000
Dist,79.000000,0.000000,1.000000
Dist,80.000000,0.000000,1.000000
Dist,81.000000,0.000000,1.000000
Dist,82.000000,0.000000,1.000000
Dist,83.000000,0.000000,1.000000
Dist,84.000000,0.000000,1.000000
Dist,85.000000,0.000000,1.000000
Dist,86.000000,0.000000,1.000000
Dist,87.000000,0.000000,1.000000
Dist,88.000000,0.000000,1.000000
Dist,89.000000,0.000000,1.000000
Dist,90.000000,0.000000,1.000000
Dist,91.000000,0.000000,1.000000
Dist,92.000000,0.000000,1.000000
Dist,93.000000,0.000000,1.000000
Dist,94.000000,0.000000,1.000000
Dist,95.000000,0.000000,1.000000
Dist,96.000000,0.000000,1.000000
Dist,97.000000,0.000000,1.000000
Dist,98.000000,0.000000,1.000000
Dist,99.000000,0.000000,1.000000
Dist,100.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,-0.000000,-0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

