## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,15.219278,235.428698,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.061149,0.061149
Dist,1.000000,0.057416,0.118565
Dist,2.000000,0.053910,0.172476
Dist,3.000000,0.050619,0.223095
Dist,4.000000,0.047528,0.270623
Dist,5.000000,0.044626,0.315249
Dist,6.000000,0.041902,0.357151
Dist,7.000000,0.039343,0.396494
Dist,8.000000,0.036941,0.433435
Dist,9.000000,0.034686,0.468121
Dist,10.000000,0.032568,0.500689
Dist,11.000000,0.030580,0.531269
Dist,12.000000,0.028713,0.559981
Dist,13.000000,0.026959,0.586941
Dist,14.000000,0.025313,0.612254
Dist,15.000000,0.023768,0.636022
Dist,16.000000,0.022317,0.658339
Dist,17.000000,0.020954,0.679293
Dist,18.000000,0.019675,0.698968
Dist,19.000000,0.018474,0.717441
Dist,20.000000,0.017346,0.734787
Dist,21.000000,0.016287,0.751074
Dist,22.000000,0.015292,0.766366
Dist,23.000000,0.014359,0.780725
Dist,24.000000,0.013482,0.794207
Dist,25.000000,0.012659,0.806866
Dist,26.000000,0.011886,0.818752
Dist,27.000000,0.011160,0.829912
Dist,28.000000,0.010479,0.840391
Dist,29.000000,0.009839,0.850230
Dist,30.000000,0.009238,0.859468
Dist,31.000000,0.008674,0.868143
Dist,32.000000,0.008145,0.876287
Dist,33.000000,0.007647,0.883935
Dist,34.000000,0.007181,0.891115
Dist,35.000000,0.006742,0.897858
Dist,36.000000,0.006331,0.904188
Dist,37.000000,0.005944,0.910132
Dist,38.000000,0.005581,0.915713
Dist,39.000000,0.005240,0.920954
Dist,40.000000,0.004920,0.925874
Dist,41.000000,0.004620,0.930494
Dist,42.000000,0.004338,0.934832
Dist,43.000000,0.004073,0.938905
Dist,44.000000,0.003824,0.942730
Dist,45.000000,0.003591,0.946321
Dist,46.000000,0.003372,0.949693
Dist,47.000000,0.003166,0.952859
Dist,48.000000,0.002973,0.955831
Dist,49.000000,0.002791,0.958622
Dist,50.000000,0.002621,0.961243
Dist,51.000000,0.002461,0.963704
Dist,52.000000,0.002310,0.966014
Dist,53.000000,0.002169,0.968184
Dist,54.000000,0.002037,0.970221
Dist,55.000000,0.001913,0.972133
Dist,56.000000,0.001796,0.973929
Dist,57.000000,0.001686,0.975615
Dist,58.000000,0.001583,0.977199
Dist,59.000000,0.001487,0.978685
Dist,60.000000,0.001396,0.980081
Dist,61.000000,0.001311,0.981392
Dist,62.000000,0.001231,0.982622
Dist,63.000000,0.001156,0.983778
Dist,64.000000,0.001085,0.984863
Dist,65.000000,0.001019,0.985882
Dist,66.000000,0.000957,0.986838
Dist,67.000000,0.000898,0.987736
Dist,68.000000,0.000843,0.988580
Dist,69.000000,0.000792,0.989371
Dist,70.000000,0.000743,0.990115
Dist,71.000000,0.000698,0.990813
Dist,72.000000,0.000655,0.991469
Dist,73.000000,0.000615,0.992084
Dist,74.000000,0.000578,0.992662
Dist,75.000000,0.000543,0.993205
Dist,76.000000,0.000510,0.993714
Dist,77.000000,0.000478,0.994192
Dist,78.000000,0.000449,0.994642
Dist,79.000000,0.000422,0.995064
Dist,80.000000,0.000396,0.995460
Dist,81.000000,0.000372,0.995832
Dist,82.000000,0.000349,0.996181
Dist,83.000000,0.000328,0.996509
Dist,84.000000,0.000308,0.996817
Dist,85.000000,0.000289,0.997106
Dist,86.000000,0.000272,0.997378
Dist,87.000000,0.000255,0.997633
Dist,88.000000,0.000240,0.997873
Dist,89.000000,0.000226,0.998098
Dist,90.000000,0.000212,0.998311
Dist,91.000000,0.000200,0.998510
Dist,92.000000,0.000188,0.998698
Dist,93.000000,0.000178,0.998876
Dist,94.000000,0.000168,0.999044
Dist,95.000000,0.000160,0.999205
Dist,96.000000,0.000154,0.999359
Dist,97.000000,0.000150,0.999509
Dist,98.000000,0.000150,0.999659
Dist,99.000000,0.000159,0.999818
Dist,100.000000,0.000182,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000182,0.000182,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999818,0.999818
Dist,1.000000,0.000182,1.000000

