## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,92.849732,79.837545,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000002,0.000002
Dist,1.000000,0.000002,0.000004
Dist,2.000000,0.000002,0.000007
Dist,3.000000,0.000003,0.000009
Dist,4.000000,0.000003,0.000012
Dist,5.000000,0.000003,0.000016
Dist,6.000000,0.000004,0.000020
Dist,7.000000,0.000004,0.000024
Dist,8.000000,0.000005,0.000028
Dist,9.000000,0.000005,0.000033
Dist,10.000000,0.000006,0.000039
Dist,11.000000,0.000006,0.000045
Dist,12.000000,0.000007,0.000053
Dist,13.000000,0.000008,0.000060
Dist,14.000000,0.000009,0.000069
Dist,15.000000,0.000010,0.000079
Dist,16.000000,0.000011,0.000090
Dist,17.000000,0.000012,0.000101
Dist,18.000000,0.000013,0.000115
Dist,19.000000,0.000015,0.000130
Dist,20.000000,0.000016,0.000146
Dist,21.000000,0.000018,0.000164
Dist,22.000000,0.000020,0.000184
Dist,23.000000,0.000023,0.000207
Dist,24.000000,0.000025,0.000232
Dist,25.000000,0.000028,0.000260
Dist,26.000000,0.000031,0.000291
Dist,27.000000,0.000034,0.000325
Dist,28.000000,0.000038,0.000363
Dist,29.000000,0.000042,0.000406
Dist,30.000000,0.000047,0.000453
Dist,31.000000,0.000052,0.000505
Dist,32.000000,0.000058,0.000564
Dist,33.000000,0.000065,0.000628
Dist,34.000000,0.000072,0.000700
Dist,35.000000,0.000080,0.000780
Dist,36.000000,0.000089,0.000869
Dist,37.000000,0.000099,0.000968
Dist,38.000000,0.000110,0.001078
Dist,39.000000,0.000122,0.001200
Dist,40.000000,0.000136,0.001335
Dist,41.000000,0.000151,0.001486
Dist,42.000000,0.000167,0.001653
Dist,43.000000,0.000186,0.001839
Dist,44.000000,0.000207,0.002046
Dist,45.000000,0.000230,0.002276
Dist,46.000000,0.000255,0.002531
Dist,47.000000,0.000284,0.002815
Dist,48.000000,0.000315,0.003131
Dist,49.000000,0.000351,0.003481
Dist,50.000000,0.000390,0.003871
Dist,51.000000,0.000433,0.004304
Dist,52.000000,0.000481,0.004785
Dist,53.000000,0.000535,0.005320
Dist,54.000000,0.000594,0.005914
Dist,55.000000,0.000661,0.006575
Dist,56.000000,0.000734,0.007309
Dist,57.000000,0.000816,0.008125
Dist,58.000000,0.000907,0.009031
Dist,59.000000,0.001008,0.010039
Dist,60.000000,0.001120,0.011159
Dist,61.000000,0.001245,0.012404
Dist,62.000000,0.001383,0.013787
Dist,63.000000,0.001537,0.015324
Dist,64.000000,0.001708,0.017032
Dist,65.000000,0.001899,0.018931
Dist,66.000000,0.002110,0.021041
Dist,67.000000,0.002345,0.023387
Dist,68.000000,0.002606,0.025993
Dist,69.000000,0.002897,0.028890
Dist,70.000000,0.003219,0.032109
Dist,71.000000,0.003578,0.035687
Dist,72.000000,0.003977,0.039664
Dist,73.000000,0.004420,0.044083
Dist,74.000000,0.004912,0.048995
Dist,75.000000,0.005460,0.054455
Dist,76.000000,0.006068,0.060523
Dist,77.000000,0.006745,0.067268
Dist,78.000000,0.007497,0.074765
Dist,79.000000,0.008334,0.083100
Dist,80.000000,0.009265,0.092365
Dist,81.000000,0.010302,0.102667
Dist,82.000000,0.011455,0.114122
Dist,83.000000,0.012740,0.126862
Dist,84.000000,0.014173,0.141036
Dist,85.000000,0.015773,0.156808
Dist,86.000000,0.017560,0.174368
Dist,87.000000,0.019562,0.193931
Dist,88.000000,0.021811,0.215741
Dist,89.000000,0.024345,0.240087
Dist,90.000000,0.027218,0.267305
Dist,91.000000,0.030498,0.297803
Dist,92.000000,0.034283,0.332086
Dist,93.000000,0.038719,0.370805
Dist,94.000000,0.044039,0.414844
Dist,95.000000,0.050637,0.465481
Dist,96.000000,0.059241,0.524722
Dist,97.000000,0.071319,0.596041
Dist,98.000000,0.090084,0.686125
Dist,99.000000,0.123227,0.809352
Dist,100.000000,0.190648,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.190648,0.154302,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.809352,0.809352
Dist,1.000000,0.190648,1.000000

