## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,2.712299,10.068884,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.269375,0.269375
Dist,1.000000,0.196812,0.466187
Dist,2.000000,0.143796,0.609983
Dist,3.000000,0.105061,0.715044
Dist,4.000000,0.076760,0.791804
Dist,5.000000,0.056083,0.847887
Dist,6.000000,0.040976,0.888862
Dist,7.000000,0.029938,0.918800
Dist,8.000000,0.021873,0.940673
Dist,9.000000,0.015981,0.956654
Dist,10.000000,0.011676,0.968331
Dist,11.000000,0.008531,0.976861
Dist,12.000000,0.006233,0.983094
Dist,13.000000,0.004554,0.987648
Dist,14.000000,0.003327,0.990976
Dist,15.000000,0.002431,0.993406
Dist,16.000000,0.001776,0.995183
Dist,17.000000,0.001298,0.996480
Dist,18.000000,0.000948,0.997428
Dist,19.000000,0.000693,0.998121
Dist,20.000000,0.000506,0.998627
Dist,21.000000,0.000370,0.998997
Dist,22.000000,0.000270,0.999267
Dist,23.000000,0.000197,0.999465
Dist,24.000000,0.000144,0.999609
Dist,25.000000,0.000105,0.999714
Dist,26.000000,0.000077,0.999791
Dist,27.000000,0.000056,0.999847
Dist,28.000000,0.000041,0.999889
Dist,29.000000,0.000030,0.999919
Dist,30.000000,0.000022,0.999940
Dist,31.000000,0.000016,0.999957
Dist,32.000000,0.000012,0.999968
Dist,33.000000,0.000009,0.999977
Dist,34.000000,0.000006,0.999983
Dist,35.000000,0.000005,0.999988
Dist,36.000000,0.000003,0.999991
Dist,37.000000,0.000002,0.999993
Dist,38.000000,0.000002,0.999995
Dist,39.000000,0.000001,0.999996
Dist,40.000000,0.000001,0.999997
Dist,41.000000,0.000001,0.999998
Dist,42.000000,0.000001,0.999999
Dist,43.000000,0.000000,0.999999
Dist,44.000000,0.000000,0.999999
Dist,45.000000,0.000000,0.999999
Dist,46.000000,0.000000,1.000000
Dist,47.000000,0.000000,1.000000
Dist,48.000000,0.000000,1.000000
Dist,49.000000,0.000000,1.000000
Dist,50.000000,0.000000,1.000000
Dist,51.000000,0.000000,1.000000
Dist,52.000000,0.000000,1.000000
Dist,53.000000,0.000000,1.000000
Dist,54.000000,0.000000,1.000000
Dist,55.000000,0.000000,1.000000
Dist,56.000000,0.000000,1.000000
Dist,57.000000,0.000000,1.000000
Dist,58.000000,0.000000,1.000000
Dist,59.000000,0.000000,1.000000
Dist,60.000000,0.000000,1.000000
Dist,61.000000,0.000000,1.000000
Dist,62.000000,0.000000,1.000000
Dist,63.000000,0.000000,1.000000
Dist,64.000000,0.000000,1.000000
Dist,65.000000,0.000000,1.000000
Dist,66.000000,0.000000,1.000000
Dist,67.000000,0.000000,1.000000
Dist,68.000000,0.000000,1.000000
Dist,69.000000,0.000000,1.000000
Dist,70.000000,0.000000,1.000000
Dist,71.000000,0.000000,1.000000
Dist,72.000000,0.000000,1.000000
Dist,73.000000,0.000000,1.000000
Dist,74.000000,0.000000,1.000000
Dist,75.000000,0.000000,1.000000
Dist,76.000000,0.000000,1.000000
Dist,77.000000,0.000000,1.000000
Dist,78.000000,0.000000,1.000000
Dist,79.000000,0.000000,1.000000
Dist,80.000000,0.000000,1.000000
Dist,81.000000,0.000000,1.000000
Dist,82.000000,0.000000,1.000000
Dist,83.000000,0.000000,1.000000
Dist,84.000000,0.000000,1.000000
Dist,85.000000,0.000000,1.000000
Dist,86.000000,0.000000,1.000000
Dist,87.000000,0.000000,1.000000
Dist,88.000000,0.000000,1.000000
Dist,89.000000,0.000000,1.000000
Dist,90.000000,0.000000,1.000000
Dist,91.000000,0.000000,1.000000
Dist,92.000000,0.000000,1.000000
Dist,93.000000,0.000000,1.000000
Dist,94.000000,0.000000,1.000000
Dist,95.000000,0.000000,1.000000
Dist,96.000000,0.000000,1.000000
Dist,97.000000,0.000000,1.000000
Dist,98.000000,0.000000,1.000000
Dist,99.000000,0.000000,1.000000
Dist,100.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,2.000000,1.000000,5
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.400000,0.400000
Dist,2.000000,0.300000,0.700000
Dist,3.000000,0.200000,0.900000
Dist,4.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

