## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,96.399494,23.982544,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000000,0.000000
Dist,2.000000,0.000000,0.000000
Dist,3.000000,0.000000,0.000000
Dist,4.000000,0.000000,0.000000
Dist,5.000000,0.000000,0.000000
Dist,6.000000,0.000000,0.000000
Dist,7.000000,0.000000,0.000000
Dist,8.000000,0.000000,0.000000
Dist,9.000000,0.000000,0.000000
Dist,10.000000,0.000000,0.000000
Dist,11.000000,0.000000,0.000000
Dist,12.000000,0.000000,0.000000
Dist,13.000000,0.000000,0.000000
Dist,14.000000,0.000000,0.000000
Dist,15.000000,0.000000,0.000000
Dist,16.000000,0.000000,0.000000
Dist,17.000000,0.000000,0.000000
Dist,18.000000,0.000000,0.000000
Dist,19.000000,0.000000,0.000000
Dist,20.000000,0.000000,0.000000
Dist,21.000000,0.000000,0.000000
Dist,22.000000,0.000000,0.000000
Dist,23.000000,0.000000,0.000000
Dist,24.000000,0.000000,0.000001
Dist,25.000000,0.000000,0.000001
Dist,26.000000,0.000000,0.000001
Dist,27.000000,0.000000,0.000001
Dist,28.000000,0.000000,0.000001
Dist,29.000000,0.000000,0.000001
Dist,30.000000,0.000000,0.000002
Dist,31.000000,0.000000,0.000002
Dist,32.000000,0.000000,0.000002
Dist,33.000000,0.000000,0.000003
Dist,34.000000,0.000001,0.000003
Dist,35.000000,0.000001,0.000004
Dist,36.000000,0.000001,0.000005
Dist,37.000000,0.000001,0.000006
Dist,38.000000,0.000001,0.000007
Dist,39.000000,0.000001,0.000008
Dist,40.000000,0.000002,0.000010
Dist,41.000000,0.000002,0.000012
Dist,42.000000,0.000002,0.000014
Dist,43.000000,0.000003,0.000017
Dist,44.000000,0.000004,0.000021
Dist,45.000000,0.000004,0.000025
Dist,46.000000,0.000005,0.000030
Dist,47.000000,0.000006,0.000036
Dist,48.000000,0.000007,0.000044
Dist,49.000000,0.000009,0.000053
Dist,50.000000,0.000011,0.000064
Dist,51.000000,0.000013,0.000076
Dist,52.000000,0.000016,0.000092
Dist,53.000000,0.000019,0.000111
Dist,54.000000,0.000023,0.000133
Dist,55.000000,0.000027,0.000161
Dist,56.000000,0.000033,0.000193
Dist,57.000000,0.000039,0.000233
Dist,58.000000,0.000047,0.000280
Dist,59.000000,0.000057,0.000337
Dist,60.000000,0.000069,0.000406
Dist,61.000000,0.000083,0.000489
Dist,62.000000,0.000100,0.000589
Dist,63.000000,0.000120,0.000709
Dist,64.000000,0.000145,0.000854
Dist,65.000000,0.000174,0.001028
Dist,66.000000,0.000210,0.001238
Dist,67.000000,0.000253,0.001490
Dist,68.000000,0.000304,0.001795
Dist,69.000000,0.000366,0.002161
Dist,70.000000,0.000441,0.002602
Dist,71.000000,0.000531,0.003133
Dist,72.000000,0.000639,0.003772
Dist,73.000000,0.000770,0.004541
Dist,74.000000,0.000927,0.005468
Dist,75.000000,0.001116,0.006584
Dist,76.000000,0.001344,0.007928
Dist,77.000000,0.001618,0.009546
Dist,78.000000,0.001948,0.011494
Dist,79.000000,0.002346,0.013839
Dist,80.000000,0.002825,0.016664
Dist,81.000000,0.003402,0.020066
Dist,82.000000,0.004097,0.024163
Dist,83.000000,0.004934,0.029097
Dist,84.000000,0.005943,0.035040
Dist,85.000000,0.007160,0.042199
Dist,86.000000,0.008627,0.050826
Dist,87.000000,0.010399,0.061225
Dist,88.000000,0.012540,0.073765
Dist,89.000000,0.015133,0.088899
Dist,90.000000,0.018282,0.107181
Dist,91.000000,0.022119,0.129300
Dist,92.000000,0.026825,0.156125
Dist,93.000000,0.032651,0.188775
Dist,94.000000,0.039972,0.228747
Dist,95.000000,0.049404,0.278151
Dist,96.000000,0.062072,0.340223
Dist,97.000000,0.080333,0.420556
Dist,98.000000,0.109917,0.530473
Dist,99.000000,0.166901,0.697374
Dist,100.000000,0.302626,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.302626,0.211044,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.697374,0.697374
Dist,1.000000,0.302626,1.000000

