## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,20.333146,376.969649,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.045322,0.045322
Dist,1.000000,0.043286,0.088608
Dist,2.000000,0.041342,0.129950
Dist,3.000000,0.039485,0.169435
Dist,4.000000,0.037712,0.207147
Dist,5.000000,0.036018,0.243165
Dist,6.000000,0.034400,0.277565
Dist,7.000000,0.032855,0.310420
Dist,8.000000,0.031379,0.341799
Dist,9.000000,0.029970,0.371769
Dist,10.000000,0.028624,0.400392
Dist,11.000000,0.027338,0.427731
Dist,12.000000,0.026110,0.453841
Dist,13.000000,0.024937,0.478778
Dist,14.000000,0.023817,0.502596
Dist,15.000000,0.022748,0.525343
Dist,16.000000,0.021726,0.547069
Dist,17.000000,0.020750,0.567819
Dist,18.000000,0.019818,0.587638
Dist,19.000000,0.018928,0.606566
Dist,20.000000,0.018078,0.624643
Dist,21.000000,0.017266,0.641909
Dist,22.000000,0.016490,0.658400
Dist,23.000000,0.015750,0.674150
Dist,24.000000,0.015042,0.689192
Dist,25.000000,0.014367,0.703559
Dist,26.000000,0.013721,0.717280
Dist,27.000000,0.013105,0.730385
Dist,28.000000,0.012517,0.742902
Dist,29.000000,0.011954,0.754856
Dist,30.000000,0.011418,0.766274
Dist,31.000000,0.010905,0.777179
Dist,32.000000,0.010415,0.787594
Dist,33.000000,0.009947,0.797541
Dist,34.000000,0.009500,0.807041
Dist,35.000000,0.009074,0.816115
Dist,36.000000,0.008666,0.824781
Dist,37.000000,0.008277,0.833058
Dist,38.000000,0.007905,0.840963
Dist,39.000000,0.007550,0.848513
Dist,40.000000,0.007211,0.855724
Dist,41.000000,0.006887,0.862612
Dist,42.000000,0.006578,0.869189
Dist,43.000000,0.006282,0.875472
Dist,44.000000,0.006000,0.881472
Dist,45.000000,0.005731,0.887203
Dist,46.000000,0.005473,0.892676
Dist,47.000000,0.005228,0.897904
Dist,48.000000,0.004993,0.902897
Dist,49.000000,0.004769,0.907665
Dist,50.000000,0.004554,0.912220
Dist,51.000000,0.004350,0.916570
Dist,52.000000,0.004154,0.920724
Dist,53.000000,0.003968,0.924692
Dist,54.000000,0.003790,0.928482
Dist,55.000000,0.003619,0.932101
Dist,56.000000,0.003457,0.935558
Dist,57.000000,0.003302,0.938860
Dist,58.000000,0.003153,0.942013
Dist,59.000000,0.003012,0.945025
Dist,60.000000,0.002877,0.947901
Dist,61.000000,0.002747,0.950649
Dist,62.000000,0.002624,0.953273
Dist,63.000000,0.002506,0.955779
Dist,64.000000,0.002394,0.958172
Dist,65.000000,0.002286,0.960458
Dist,66.000000,0.002183,0.962642
Dist,67.000000,0.002085,0.964727
Dist,68.000000,0.001992,0.966719
Dist,69.000000,0.001902,0.968621
Dist,70.000000,0.001817,0.970438
Dist,71.000000,0.001735,0.972173
Dist,72.000000,0.001657,0.973830
Dist,73.000000,0.001583,0.975413
Dist,74.000000,0.001512,0.976925
Dist,75.000000,0.001444,0.978369
Dist,76.000000,0.001379,0.979748
Dist,77.000000,0.001317,0.981065
Dist,78.000000,0.001258,0.982323
Dist,79.000000,0.001201,0.983524
Dist,80.000000,0.001148,0.984672
Dist,81.000000,0.001096,0.985768
Dist,82.000000,0.001047,0.986814
Dist,83.000000,0.001000,0.987814
Dist,84.000000,0.000955,0.988769
Dist,85.000000,0.000912,0.989682
Dist,86.000000,0.000871,0.990553
Dist,87.000000,0.000833,0.991386
Dist,88.000000,0.000795,0.992181
Dist,89.000000,0.000760,0.992941
Dist,90.000000,0.000727,0.993668
Dist,91.000000,0.000695,0.994363
Dist,92.000000,0.000666,0.995029
Dist,93.000000,0.000638,0.995667
Dist,94.000000,0.000614,0.996281
Dist,95.000000,0.000592,0.996873
Dist,96.000000,0.000577,0.997450
Dist,97.000000,0.000570,0.998020
Dist,98.000000,0.000581,0.998601
Dist,99.000000,0.000630,0.999231
Dist,100.000000,0.000769,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000769,0.000769,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999231,0.999231
Dist,1.000000,0.000769,1.000000

