## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,89.489079,147.261570,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000023,0.000023
Dist,1.000000,0.000025,0.000047
Dist,2.000000,0.000027,0.000074
Dist,3.000000,0.000029,0.000103
Dist,4.000000,0.000031,0.000134
Dist,5.000000,0.000034,0.000167
Dist,6.000000,0.000037,0.000204
Dist,7.000000,0.000040,0.000244
Dist,8.000000,0.000043,0.000286
Dist,9.000000,0.000046,0.000333
Dist,10.000000,0.000050,0.000383
Dist,11.000000,0.000054,0.000438
Dist,12.000000,0.000059,0.000497
Dist,13.000000,0.000064,0.000561
Dist,14.000000,0.000069,0.000630
Dist,15.000000,0.000075,0.000705
Dist,16.000000,0.000081,0.000786
Dist,17.000000,0.000088,0.000874
Dist,18.000000,0.000095,0.000969
Dist,19.000000,0.000103,0.001072
Dist,20.000000,0.000112,0.001184
Dist,21.000000,0.000121,0.001305
Dist,22.000000,0.000131,0.001436
Dist,23.000000,0.000142,0.001578
Dist,24.000000,0.000154,0.001732
Dist,25.000000,0.000167,0.001899
Dist,26.000000,0.000180,0.002079
Dist,27.000000,0.000195,0.002274
Dist,28.000000,0.000212,0.002486
Dist,29.000000,0.000229,0.002715
Dist,30.000000,0.000248,0.002964
Dist,31.000000,0.000269,0.003232
Dist,32.000000,0.000291,0.003524
Dist,33.000000,0.000315,0.003839
Dist,34.000000,0.000342,0.004181
Dist,35.000000,0.000370,0.004551
Dist,36.000000,0.000401,0.004952
Dist,37.000000,0.000434,0.005386
Dist,38.000000,0.000470,0.005856
Dist,39.000000,0.000509,0.006365
Dist,40.000000,0.000551,0.006916
Dist,41.000000,0.000597,0.007514
Dist,42.000000,0.000647,0.008161
Dist,43.000000,0.000701,0.008861
Dist,44.000000,0.000759,0.009620
Dist,45.000000,0.000822,0.010442
Dist,46.000000,0.000890,0.011333
Dist,47.000000,0.000964,0.012297
Dist,48.000000,0.001044,0.013341
Dist,49.000000,0.001131,0.014473
Dist,50.000000,0.001225,0.015698
Dist,51.000000,0.001327,0.017025
Dist,52.000000,0.001437,0.018462
Dist,53.000000,0.001557,0.020019
Dist,54.000000,0.001686,0.021705
Dist,55.000000,0.001826,0.023531
Dist,56.000000,0.001978,0.025509
Dist,57.000000,0.002142,0.027651
Dist,58.000000,0.002320,0.029971
Dist,59.000000,0.002513,0.032485
Dist,60.000000,0.002722,0.035207
Dist,61.000000,0.002948,0.038155
Dist,62.000000,0.003193,0.041348
Dist,63.000000,0.003459,0.044806
Dist,64.000000,0.003746,0.048552
Dist,65.000000,0.004057,0.052610
Dist,66.000000,0.004394,0.057004
Dist,67.000000,0.004760,0.061763
Dist,68.000000,0.005155,0.066919
Dist,69.000000,0.005583,0.072502
Dist,70.000000,0.006047,0.078549
Dist,71.000000,0.006550,0.085100
Dist,72.000000,0.007094,0.092194
Dist,73.000000,0.007684,0.099878
Dist,74.000000,0.008323,0.108201
Dist,75.000000,0.009014,0.117215
Dist,76.000000,0.009764,0.126978
Dist,77.000000,0.010575,0.137554
Dist,78.000000,0.011454,0.149008
Dist,79.000000,0.012407,0.161414
Dist,80.000000,0.013438,0.174853
Dist,81.000000,0.014556,0.189409
Dist,82.000000,0.015767,0.205176
Dist,83.000000,0.017080,0.222257
Dist,84.000000,0.018504,0.240760
Dist,85.000000,0.020048,0.260808
Dist,86.000000,0.021724,0.282532
Dist,87.000000,0.023545,0.306078
Dist,88.000000,0.025527,0.331604
Dist,89.000000,0.027688,0.359293
Dist,90.000000,0.030053,0.389346
Dist,91.000000,0.032655,0.422001
Dist,92.000000,0.035539,0.457540
Dist,93.000000,0.038778,0.496318
Dist,94.000000,0.042487,0.538805
Dist,95.000000,0.046877,0.585682
Dist,96.000000,0.052355,0.638037
Dist,97.000000,0.059798,0.697835
Dist,98.000000,0.071290,0.769125
Dist,99.000000,0.092301,0.861425
Dist,100.000000,0.138575,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.138575,0.119372,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.861425,0.861425
Dist,1.000000,0.138575,1.000000

