## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,92.772201,77.524236,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000002,0.000002
Dist,1.000000,0.000002,0.000003
Dist,2.000000,0.000002,0.000005
Dist,3.000000,0.000002,0.000007
Dist,4.000000,0.000002,0.000010
Dist,5.000000,0.000003,0.000012
Dist,6.000000,0.000003,0.000015
Dist,7.000000,0.000003,0.000019
Dist,8.000000,0.000004,0.000022
Dist,9.000000,0.000004,0.000026
Dist,10.000000,0.000005,0.000031
Dist,11.000000,0.000005,0.000036
Dist,12.000000,0.000006,0.000042
Dist,13.000000,0.000006,0.000048
Dist,14.000000,0.000007,0.000055
Dist,15.000000,0.000008,0.000063
Dist,16.000000,0.000009,0.000072
Dist,17.000000,0.000010,0.000081
Dist,18.000000,0.000011,0.000092
Dist,19.000000,0.000012,0.000104
Dist,20.000000,0.000014,0.000118
Dist,21.000000,0.000015,0.000133
Dist,22.000000,0.000017,0.000150
Dist,23.000000,0.000019,0.000169
Dist,24.000000,0.000021,0.000190
Dist,25.000000,0.000023,0.000213
Dist,26.000000,0.000026,0.000239
Dist,27.000000,0.000029,0.000268
Dist,28.000000,0.000032,0.000301
Dist,29.000000,0.000036,0.000337
Dist,30.000000,0.000040,0.000378
Dist,31.000000,0.000045,0.000423
Dist,32.000000,0.000050,0.000473
Dist,33.000000,0.000056,0.000529
Dist,34.000000,0.000063,0.000592
Dist,35.000000,0.000070,0.000661
Dist,36.000000,0.000078,0.000739
Dist,37.000000,0.000087,0.000826
Dist,38.000000,0.000097,0.000923
Dist,39.000000,0.000108,0.001030
Dist,40.000000,0.000120,0.001151
Dist,41.000000,0.000134,0.001285
Dist,42.000000,0.000150,0.001435
Dist,43.000000,0.000167,0.001602
Dist,44.000000,0.000186,0.001788
Dist,45.000000,0.000208,0.001996
Dist,46.000000,0.000232,0.002227
Dist,47.000000,0.000258,0.002486
Dist,48.000000,0.000288,0.002774
Dist,49.000000,0.000321,0.003095
Dist,50.000000,0.000358,0.003453
Dist,51.000000,0.000400,0.003853
Dist,52.000000,0.000446,0.004299
Dist,53.000000,0.000497,0.004796
Dist,54.000000,0.000555,0.005351
Dist,55.000000,0.000619,0.005970
Dist,56.000000,0.000690,0.006660
Dist,57.000000,0.000770,0.007429
Dist,58.000000,0.000858,0.008288
Dist,59.000000,0.000957,0.009245
Dist,60.000000,0.001068,0.010312
Dist,61.000000,0.001191,0.011503
Dist,62.000000,0.001328,0.012832
Dist,63.000000,0.001481,0.014313
Dist,64.000000,0.001652,0.015965
Dist,65.000000,0.001843,0.017808
Dist,66.000000,0.002055,0.019863
Dist,67.000000,0.002292,0.022156
Dist,68.000000,0.002557,0.024712
Dist,69.000000,0.002852,0.027564
Dist,70.000000,0.003181,0.030745
Dist,71.000000,0.003547,0.034292
Dist,72.000000,0.003957,0.038249
Dist,73.000000,0.004413,0.042662
Dist,74.000000,0.004922,0.047584
Dist,75.000000,0.005490,0.053074
Dist,76.000000,0.006123,0.059197
Dist,77.000000,0.006829,0.066026
Dist,78.000000,0.007617,0.073644
Dist,79.000000,0.008496,0.082140
Dist,80.000000,0.009477,0.091617
Dist,81.000000,0.010571,0.102188
Dist,82.000000,0.011792,0.113980
Dist,83.000000,0.013154,0.127134
Dist,84.000000,0.014675,0.141809
Dist,85.000000,0.016374,0.158183
Dist,86.000000,0.018272,0.176455
Dist,87.000000,0.020396,0.196851
Dist,88.000000,0.022775,0.219626
Dist,89.000000,0.025444,0.245070
Dist,90.000000,0.028448,0.273518
Dist,91.000000,0.031846,0.305364
Dist,92.000000,0.035713,0.341077
Dist,93.000000,0.040166,0.381243
Dist,94.000000,0.045381,0.426624
Dist,95.000000,0.051667,0.478291
Dist,96.000000,0.059613,0.537904
Dist,97.000000,0.070473,0.608377
Dist,98.000000,0.087250,0.695628
Dist,99.000000,0.117973,0.813601
Dist,100.000000,0.186399,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.186399,0.151654,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.813601,0.813601
Dist,1.000000,0.186399,1.000000

