## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,8.143651,74.402019,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.109358,0.109358
Dist,1.000000,0.097399,0.206757
Dist,2.000000,0.086748,0.293505
Dist,3.000000,0.077261,0.370766
Dist,4.000000,0.068812,0.439578
Dist,5.000000,0.061287,0.500865
Dist,6.000000,0.054585,0.555450
Dist,7.000000,0.048615,0.604065
Dist,8.000000,0.043299,0.647364
Dist,9.000000,0.038564,0.685928
Dist,10.000000,0.034347,0.720275
Dist,11.000000,0.030591,0.750866
Dist,12.000000,0.027245,0.778111
Dist,13.000000,0.024266,0.802377
Dist,14.000000,0.021612,0.823989
Dist,15.000000,0.019249,0.843238
Dist,16.000000,0.017144,0.860381
Dist,17.000000,0.015269,0.875650
Dist,18.000000,0.013599,0.889249
Dist,19.000000,0.012112,0.901361
Dist,20.000000,0.010787,0.912149
Dist,21.000000,0.009608,0.921757
Dist,22.000000,0.008557,0.930314
Dist,23.000000,0.007621,0.937935
Dist,24.000000,0.006788,0.944723
Dist,25.000000,0.006046,0.950769
Dist,26.000000,0.005384,0.956153
Dist,27.000000,0.004796,0.960949
Dist,28.000000,0.004271,0.965220
Dist,29.000000,0.003804,0.969024
Dist,30.000000,0.003388,0.972412
Dist,31.000000,0.003018,0.975430
Dist,32.000000,0.002688,0.978117
Dist,33.000000,0.002394,0.980511
Dist,34.000000,0.002132,0.982643
Dist,35.000000,0.001899,0.984542
Dist,36.000000,0.001691,0.986233
Dist,37.000000,0.001506,0.987739
Dist,38.000000,0.001342,0.989081
Dist,39.000000,0.001195,0.990276
Dist,40.000000,0.001064,0.991340
Dist,41.000000,0.000948,0.992287
Dist,42.000000,0.000844,0.993132
Dist,43.000000,0.000752,0.993883
Dist,44.000000,0.000670,0.994553
Dist,45.000000,0.000596,0.995149
Dist,46.000000,0.000531,0.995681
Dist,47.000000,0.000473,0.996154
Dist,48.000000,0.000421,0.996575
Dist,49.000000,0.000375,0.996950
Dist,50.000000,0.000334,0.997285
Dist,51.000000,0.000298,0.997582
Dist,52.000000,0.000265,0.997847
Dist,53.000000,0.000236,0.998084
Dist,54.000000,0.000210,0.998294
Dist,55.000000,0.000187,0.998481
Dist,56.000000,0.000167,0.998648
Dist,57.000000,0.000149,0.998797
Dist,58.000000,0.000132,0.998929
Dist,59.000000,0.000118,0.999047
Dist,60.000000,0.000105,0.999152
Dist,61.000000,0.000094,0.999245
Dist,62.000000,0.000083,0.999329
Dist,63.000000,0.000074,0.999403
Dist,64.000000,0.000066,0.999469
Dist,65.000000,0.000059,0.999528
Dist,66.000000,0.000052,0.999580
Dist,67.000000,0.000047,0.999627
Dist,68.000000,0.000042,0.999668
Dist,69.000000,0.000037,0.999705
Dist,70.000000,0.000033,0.999738
Dist,71.000000,0.000029,0.999768
Dist,72.000000,0.000026,0.999794
Dist,73.000000,0.000023,0.999817
Dist,74.000000,0.000021,0.999838
Dist,75.000000,0.000018,0.999857
Dist,76.000000,0.000016,0.999873
Dist,77.000000,0.000015,0.999888
Dist,78.000000,0.000013,0.999901
Dist,79.000000,0.000012,0.999912
Dist,80.000000,0.000010,0.999923
Dist,81.000000,0.000009,0.999932
Dist,82.000000,0.000008,0.999940
Dist,83.000000,0.000007,0.999947
Dist,84.000000,0.000007,0.999954
Dist,85.000000,0.000006,0.999960
Dist,86.000000,0.000005,0.999965
Dist,87.000000,0.000005,0.999970
Dist,88.000000,0.000004,0.999974
Dist,89.000000,0.000004,0.999977
Dist,90.000000,0.000003,0.999981
Dist,91.000000,0.000003,0.999984
Dist,92.000000,0.000003,0.999986
Dist,93.000000,0.000002,0.999988
Dist,94.000000,0.000002,0.999990
Dist,95.000000,0.000002,0.999992
Dist,96.000000,0.000002,0.999994
Dist,97.000000,0.000002,0.999996
Dist,98.000000,0.000001,0.999997
Dist,99.000000,0.000001,0.999998
Dist,100.000000,0.000002,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000002,0.000002,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999998,0.999998
Dist,1.000000,0.000002,1.000000

